23298, 20211217.44, 2021-12-17T19:55:12.2407697Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 54, comprehensive Python38 | 54, mysql | 54, test_cli | 0
23290, 20211217.42, 2021-12-17T19:42:23.6780279Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23282, 20211217.40, 2021-12-17T19:13:21.5470316Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2516, comprehensive Python38 | 5784, mysql | 4747, test_cli | 0
23278, 20211217.39, 2021-12-17T19:04:21.8396068Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2525, comprehensive Python38 | 5759, mysql | 4756, test_cli | 451
23274, 20211217.38, 2021-12-17T19:01:02.1350076Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2503, comprehensive Python38 | 5737, mysql | 4734, test_cli | 0
23270, 20211217.37, 2021-12-17T18:58:40.6874752Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 54, comprehensive Python38 | 54, mysql | 54, test_cli | 0
23262, 20211217.35, 2021-12-17T18:52:55.365574Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2387, comprehensive Python38 | 5609, mysql | 4607, test_cli | 444
23258, 20211217.34, 2021-12-17T18:15:33.0963309Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 55, comprehensive Python38 | 55, mysql | 55, test_cli | 0
23254, 20211217.33, 2021-12-17T17:56:02.9988376Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23250, 20211217.32, 2021-12-17T17:47:14.3580051Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2525, comprehensive Python38 | 5759, mysql | 4756, test_cli | 451
23246, 20211217.31, 2021-12-17T17:43:36.290579Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2142, comprehensive Python38 | 5213, mysql | 4241, test_cli | 451
23235, 20211217.28, 2021-12-17T16:50:46.9354083Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 55, comprehensive Python38 | 55, mysql | 55, test_cli | 0
23231, 20211217.27, 2021-12-17T16:49:35.4613169Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23227, 20211217.26, 2021-12-17T16:37:25.2603575Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2525, comprehensive Python38 | 5759, mysql | 4756, test_cli | 0
23219, 20211217.24, 2021-12-17T16:29:52.9306823Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23211, 20211217.22, 2021-12-17T16:23:22.1466696Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23204, 20211217.20, 2021-12-17T16:07:18.8180165Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2503, comprehensive Python38 | 5737, mysql | 4734, test_cli | 0
23200, 20211217.19, 2021-12-17T16:06:59.6740426Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2387, comprehensive Python38 | 5609, mysql | 4607, test_cli | 444
23197, 20211217.18, 2021-12-17T16:06:48.4996076Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2466, comprehensive Python38 | 5700, mysql | 4697, test_cli | 451
23192, 20211217.17, 2021-12-17T16:05:19.2732102Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23180, 20211217.14, 2021-12-17T15:32:35.5802509Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2517, comprehensive Python38 | 5751, mysql | 4748, test_cli | 0
23176, 20211217.13, 2021-12-17T15:32:10.3999991Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23173, 20211217.12, 2021-12-17T15:32:02.8628572Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2517, comprehensive Python38 | 5751, mysql | 4748, test_cli | 0
